word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
ngemithetho,0.0,0.0,0.0,1,0,0
likhiphe,0.0,0.0,0.0,1,0,0
isokesimbone,0.0,0.0,0.0,1,0,0
ziningi,0.0,0.0,0.0,1,0,0
ucingo,0.0,0.0,0.0,1,0,0
zibuza,0.0,0.0,0.0,1,0,0
uzobuya,0.0,0.0,0.0,1,0,0
zibuye,0.0,0.0,0.0,1,0,0
njalo,-0.10053304313152116,0.0,-0.10053304313152116,5,2,0
ngakho,-0.10053304313152116,0.0,-0.10053304313152116,5,2,0
ngeke,0.0,0.1092194609802138,-0.1092194609802138,4,0,1
nikeza,0.0,0.1092194609802138,-0.1092194609802138,4,0,1
sikhathi,0.0,0.1092194609802138,-0.1092194609802138,4,0,1
njengoba,0.0,0.1092194609802138,-0.1092194609802138,4,0,1
babo,0.0,0.1092194609802138,-0.1092194609802138,4,0,1
ngithi,0.0,0.1092194609802138,-0.1092194609802138,4,0,1
manje,0.22139505175584123,0.5242569602590573,-0.3028619085032161,6,3,2
hhayi,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
amasu,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
siqephu,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
nabo,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
bakhe,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
umlando,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
esikhathini,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
zindawo,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
umbhali,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
nkondlo,-0.3635674489653151,0.0,-0.3635674489653151,3,1,0
ngoba,0.01976119058619063,0.39301242698080463,-0.373251236394614,23,10,7
isizathu,0.05147005031352862,0.5242569602590573,-0.4727869099455287,9,4,3
nto,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
kwaze,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
kuyena,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
ngokuthi,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
imoto,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
athi,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
yikuphi,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
ucabanga,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
kungaba,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
sakhe,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
yona,0.0,0.5242569602590573,-0.5242569602590573,3,0,1
emnyango,-0.7786049482441588,0.0,-0.7786049482441588,4,1,0
impisi,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,6,2,2
leyo,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,3,1,1
amazimu,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,3,1,1
emakhaya,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,3,1,1
abamnyama,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,3,1,1
uthole,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,3,1,1
nini,-0.3635674489653151,0.5242569602590573,-0.8878244092243724,3,1,1
siqeshana,-1.3635674489653151,-0.4757430397409427,-0.8878244092243724,12,2,2
esikoleni,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ngolimi,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ngabafundi,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
bona,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
endlini,-1.1005330431315212,-0.21270863390714873,-0.8878244092243726,5,1,1
ngenxa,0.22139505175584123,1.1092194609802137,-0.8878244092243726,4,2,2
ukube,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
okumele,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
nayo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
muntu,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
uyavumelana,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
aphansi,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
umqondo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
sayo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
emphakathini,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
esixegayo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
yesimilo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
nalabo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
enye,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ibheke,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
impilo,-1.1005330431315212,-0.21270863390714873,-0.8878244092243726,5,1,1
wacabanga,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ngaleyo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
nengane,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
lula,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
nezinye,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ngakho-ke,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ngiqonde,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
amaphutha,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
eqolo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
imithetho,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ekugcineni,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ake,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
abacwaningi,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
